Price,Close,High,Low,Open,Volume,MA21,MA50
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA,,
Date,,,,,,,
2023-09-29,15398.2099609375,15572.169921875,15364.990234375,15478.0703125,3865960000,15796.24009486607,15956.106171875
2023-10-02,15230.009765625,15398.2099609375,15154.009765625,15398.2099609375,3938660000,15759.55626860119,15934.92396484375
2023-10-03,15043.419921875,15230.009765625,14993.919921875,15230.009765625,3953830000,15709.633882068452,15908.4095703125
2023-10-04,15070.91015625,15076.98046875,14924.9501953125,15049.6103515625,3777600000,15668.130533854166,15882.124375
2023-10-05,15072.990234375,15093.669921875,14986.6396484375,15070.91015625,3581470000,15629.152436755952,15855.2199609375
2023-10-06,15214.01953125,15285.6103515625,14942.5400390625,15072.900390625,3902030000,15598.191917782739,15834.088359375
2023-10-09,15318.080078125,15336.51953125,15166.5,15214.01953125,3174630000,15571.481910342261,15813.184765625
2023-10-10,15450.240234375,15524.919921875,15318.080078125,15318.080078125,3520240000,15547.710472470239,15793.6437890625
2023-10-11,15487.7802734375,15521.580078125,15390.0703125,15450.240234375,3601660000,15525.51381138393,15776.26919921875
2023-10-12,15329.5498046875,15510.580078125,15252.73046875,15487.7802734375,3713140000,15497.080961681548,15759.36939453125
2023-10-13,15323.7001953125,15454.759765625,15273.099609375,15329.5498046875,3566560000,15460.615234375,15743.335
2023-10-16,15484.5,15515.7998046875,15323.7001953125,15323.7001953125,3409960000,15437.320963541666,15731.60380859375
2023-10-17,15541.3798828125,15618.900390625,15406.6103515625,15484.5,3794850000,15417.742885044643,15718.266796875
2023-10-18,15324.9599609375,15541.3798828125,15302.009765625,15541.3798828125,3686030000,15388.978608630952,15701.23900390625
2023-10-19,15196.3701171875,15386.1396484375,15171.669921875,15324.9599609375,3969730000,15357.395275297618,15682.451015625
2023-10-20,15033.3095703125,15196.3701171875,15031.6396484375,15196.3701171875,4004030000,15330.33384486607,15660.4128125
2023-10-23,14946.009765625,15082.6201171875,14916.6298828125,15033.3095703125,3776100000,15300.643368675595,15636.46541015625
2023-10-24,15025.759765625,15086.099609375,14946.009765625,14946.009765625,3821820000,15273.597144717261,15614.659609375
2023-10-25,14914.1201171875,15025.759765625,14899.5,15025.759765625,3869370000,15251.337146577382,15594.7158203125
2023-10-26,14858.7001953125,14956.7001953125,14830.6904296875,14914.1201171875,4277640000,15225.813802083334,15575.5276171875
2023-10-27,14675.7802734375,14873.4599609375,14638.3701171875,14858.7001953125,4019500000,15187.60951450893,15554.355625
2023-10-30,14825.8896484375,14853.4599609375,14675.7802734375,14675.7802734375,3911140000,15160.356166294643,15535.87001953125
2023-10-31,14919.2001953125,14923.1904296875,14804.650390625,14825.8896484375,4249470000,15145.555710565477,15519.32982421875
2023-11-01,15002.5498046875,15024.419921875,14904.919921875,14919.2001953125,4224900000,15143.60951450893,15505.57521484375
2023-11-02,15332.599609375,15339.740234375,15002.5498046875,15002.5498046875,4669780000,15156.07091703869,15495.76181640625
2023-11-03,15475.2001953125,15539.8798828125,15332.599609375,15332.599609375,4570960000,15175.22377232143,15491.605625
2023-11-06,15440.5,15523.8095703125,15399.23046875,15475.2001953125,3656340000,15186.008556547618,15485.077421875
2023-11-07,15388.490234375,15440.5,15342.73046875,15440.5,3791230000,15189.361421130952,15475.2554296875
2023-11-08,15352.1904296875,15422.8095703125,15302.9404296875,15388.48046875,3729510000,15184.6923828125,15461.46943359375
2023-11-09,15235.1796875,15401.2802734375,15229.509765625,15352.1904296875,3900780000,15172.663783482143,15444.6886328125
2023-11-10,15388.4404296875,15396.48046875,15207.580078125,15235.1796875,3665080000,15175.468098958334,15432.4500390625
2023-11-13,15403.1396484375,15433.740234375,15321.5302734375,15388.4404296875,3326240000,15179.250930059523,15418.67703125
